id,description,details,image,currency,cost,margin,markup,unitPrice,unitType,trademark,barcode,internalCode
-MSVc_F8dJ5dX7Nx75SA,ARRUELA INOX LISA 3/8,,,BRL,,,,"R$ 9,00",Kit 05 unidades ,CISER,,
-MSVdEQ3x4yAgbz2n7n7,ARRUELA INOX LISA 1/2,,,BRL,,,,"R$ 13,90",Kit 05 unidades ,CISER,,
-MUDuET4vf7CQsB_oKa1,DVR 16CH SEM HD INTELBRAS ,,,BRL,,,,"R$ 1.480,00",UN,Intelbras,,
-MYdvW-p6omTf5bd4c_X,GRAVADOR DIGITAL MHDX 16CH INTELBRAS ,,,BRL,"R$ 850,00",25%,,"R$ 1.133,33",UN,Intelbras ,,
-MYdw-5zw8YCmGhHemZj,CAMERA INFRAVERMELHO BULLET 20M,,,BRL,"R$ 138,00",35%,"53,85%","R$ 212,31",UN,,,
-MYdwhVlrdVLjTEo6URl,CONVERSOR VÍDEO BALUN,,,BRL,"R$ 35,00",35%,"53,86%","R$ 53,85",UN,INTELBRAS ,,
-MYeMN8OwB837moTGOMA,Gravador Digital Imagens 16ch com HD 3TB,,,BRL,"R$1.600,00",25%,,"R$2.133,33",UN,INTELBRAS,,
-MYeMgYoQpT9Z5l9ySIJ,Cabo UTP CAT5E 100% Cobre 305 metros,CONDUTTI,,BRL,"R$ 590,00",35%,"53,85%","R$ 907,69",pç,SOHO,,
-MYeNKoJQhce_IhOlIKg,Caixa Organizadora DVR 16CH,,,BRL,"R$170,00",25%,,"R$226,67",UN,,,
-MYeOq-HmBKA3GtZOpDM,Grade Proteção Câmera Tam. M,,,BRL,"R$35,00",25%,,"R$46,67",UN,,,
-MYfofk8RQj9Yxk4O12u,Kit Cerca Concertina de chumbar ,,,BRL,"R$ 150,00",25%,,"R$ 200,00",kit,,,
-MYfp8OHhAKT2KQh_PfN,Haste Chumbar para Concertina 30cm. ,,,BRL,"R$ 17,00",25%,,"R$ 22,67",UN,,,
-MYfpY1c_v6Df5Q8VzmN,Placa advertência Concertina. ,,,BRL,"R$ 7,00",25%,,"R$ 9,33",UN,,,
-MYfqkIbSbdJcvEDrDqH,Cimento Cinza Pcote com 1Kg,,,BRL,"R$ 5,60",30%,,"R$ 8,00",Kg,,,
-MYfr8gBFH3hBO4XYLxW,Areia Lavada Pacote Com 1Kg. ,,,BRL,"R$ 3,80",30%,,"R$ 5,43",kg,,,
-MYfuQ1PomTNYb72HnZS,Central Choque 5002,,,BRL,"R$ 196,00",25%,,"R$ 261,33",UN,Intelbras ,,
